eta_sq_regime,eta_sq_quality,eta_sq_interaction,f_regime,p_regime,f_quality,p_quality,model,layer,metric,denoised
0.013236732560189288,0.22938003173417595,0.007846172614323587,12.838730791468938,0.00036216337316096923,222.48303824093983,4.318674571392848e-44,qwen05b,2,clean_time_to_commit,True
0.013181316492784784,0.22894635213404366,0.007606823168535957,12.772567824937,0.0003749690015601267,221.8467944764588,5.516225704581035e-44,qwen05b,2,clean_commitment_sharpness,True
0.38409588261723426,0.0017603271085038295,0.0011394346591004265,498.75717808970916,3.7160288741566144e-86,2.285824506031278,0.1309576305595045,qwen05b,2,clean_phase_count,False
0.7114961546374945,0.010108024162258014,0.001419093153066911,2044.7600167873052,4.158943227125726e-222,29.04932587616826,9.302575915662779e-08,qwen05b,2,full_speed,False
0.327947620024416,0.0031097417081834594,0.019398503411402455,401.89155983574284,1.0981561505055925e-72,3.8109102474812007,0.051270022052757484,qwen05b,2,full_turn_angle,False
0.8060973049186998,0.018540582995705667,0.02880076284912625,4378.053682352598,0.0,100.6971083540589,2.1495404825022656e-22,qwen05b,2,full_tortuosity,False
0.8140898307383643,0.016834129705138513,0.027661169820647494,4582.371758204585,0.0,94.7564232129209,3.110272764137288e-21,qwen05b,2,full_dir_consistency,False
0.07730302687959235,0.018932811570342416,0.023777333320447014,69.92514822062704,2.7415879932765195e-16,17.12584498601172,3.871041321526696e-05,qwen05b,2,full_stabilisation,False
0.8797383154412717,0.009420519487529077,0.008279729106483665,6827.826585152026,0.0,73.1145526731212,6.221485423410916e-17,qwen05b,2,full_radius_of_gyration,False
0.9177976133659757,0.0035863703863843696,0.0017477144039968944,9504.137371544328,0.0,37.13820598468246,1.7133225193556812e-09,qwen05b,2,full_effective_dimension,False
0.7114268597708276,0.0016692144322581002,0.004229500304260779,1844.7933070109652,2.397931426058531e-202,4.3284219175922125,0.037827747371462515,qwen05b,2,full_cos_slope_to_final,False
0.8343149809284451,0.0001862896489840402,0.0009132965616907833,3715.716940377587,3.0958627680779755e-289,0.8296622023695376,0.3626696583948098,qwen05b,2,full_time_to_commit,False
0.19036223294588742,0.031208279910993758,0.06722659812126652,196.19649878144426,1.132275451270771e-39,32.16475850684509,2.038381619341962e-08,qwen05b,2,full_commitment_sharpness,False
0.4496123750526618,0.0027451249712463466,0.0015401539334648677,655.3560026529951,6.319815680129871e-106,4.0013002927871115,0.04580443991674401,qwen05b,2,full_phase_count,False
0.7501858996681113,3.955061182218844e-06,0.0037681968821136357,2427.0169377487423,6.132742165464318e-244,0.012795495734223183,0.9099661784520979,qwen05b,2,clean_interlayer_alignment,False
0.7596477119297901,8.308783820004742e-06,0.004490603457683732,2563.794461586486,3.988738018679982e-251,0.02804196419697291,0.8670527358031609,qwen05b,2,full_interlayer_alignment,False
0.7098405113476512,0.010480185013804072,0.0019819679887958003,2034.7082038460362,1.7060065958587366e-221,30.040717716895333,5.6810472238316705e-08,qwen05b,2,clean_speed,False
0.3774254415302512,0.0020871740535478448,0.013839268969276662,495.23050316697913,1.1027387529807268e-85,2.7386395907619687,0.09834231738233737,qwen05b,2,clean_turn_angle,False
0.8161035281833547,0.015664160587678076,0.02476238392831986,4527.906444621299,0.0,86.90791207876697,1.0939411845583312e-19,qwen05b,2,clean_tortuosity,False
0.8130429714649225,0.01459305099840974,0.025382500313904936,4403.154856752591,0.0,79.03083309694203,4.038748449668237e-18,qwen05b,2,clean_dir_consistency,False
0.08126955447529621,0.01916725514597813,0.023231686165419915,73.8197417887074,4.4858842961255725e-17,17.410232341122008,3.3435856877898566e-05,qwen05b,2,clean_stabilisation,False
0.8706975816511291,0.008512977344639454,0.007177896954619579,6100.394821600579,0.0,59.64473085036073,3.414452057731226e-14,qwen05b,2,clean_radius_of_gyration,False
0.9133003200668935,0.002920447645045615,0.001858112865103455,8874.232431075861,0.0,28.37700878395037,1.3005164497614953e-07,qwen05b,2,clean_effective_dimension,False
