problem_id,condition,layer,metric,value
100,direct,4,trajectory_curvature,2.55078125
100,direct,5,trajectory_curvature,2.55078125
100,direct,6,trajectory_curvature,2.54296875
100,direct,7,trajectory_curvature,2.533203125
100,direct,8,trajectory_curvature,2.529296875
100,direct,9,trajectory_curvature,2.51953125
100,direct,10,trajectory_curvature,2.51953125
100,direct,11,trajectory_curvature,2.513671875
100,direct,12,trajectory_curvature,2.513671875
100,direct,13,trajectory_curvature,2.5078125
100,direct,14,trajectory_curvature,2.501953125
100,direct,15,trajectory_curvature,2.494140625
100,direct,16,trajectory_curvature,2.490234375
100,direct,17,trajectory_curvature,2.484375
100,direct,18,trajectory_curvature,2.484375
100,direct,19,trajectory_curvature,2.484375
100,direct,20,trajectory_curvature,2.49609375
100,direct,21,trajectory_curvature,2.505859375
100,direct,22,trajectory_curvature,2.509765625
100,direct,23,trajectory_curvature,2.513671875
100,direct,24,trajectory_curvature,
100,direct,0,commitment_sharpness,1.30859375
100,direct,1,commitment_sharpness,1.251953125
100,direct,2,commitment_sharpness,1.2353515625
100,direct,3,commitment_sharpness,1.2314453125
100,direct,4,commitment_sharpness,1.2431640625
100,direct,5,commitment_sharpness,1.3046875
100,direct,6,commitment_sharpness,1.3203125
100,direct,7,commitment_sharpness,1.291015625
100,direct,8,commitment_sharpness,1.341796875
100,direct,9,commitment_sharpness,1.3173828125
100,direct,10,commitment_sharpness,1.2861328125
100,direct,11,commitment_sharpness,1.2919921875
100,direct,12,commitment_sharpness,1.2685546875
100,direct,13,commitment_sharpness,1.3251953125
100,direct,14,commitment_sharpness,1.3359375
100,direct,15,commitment_sharpness,1.3203125
100,direct,16,commitment_sharpness,1.2470703125
100,direct,17,commitment_sharpness,1.2724609375
100,direct,18,commitment_sharpness,1.2314453125
100,direct,19,commitment_sharpness,1.255859375
100,direct,20,commitment_sharpness,1.359375
100,direct,21,commitment_sharpness,1.3134765625
100,direct,22,commitment_sharpness,1.5029296875
100,direct,23,commitment_sharpness,1.48046875
100,direct,24,commitment_sharpness,1.46875
101,cot,0,next_layer_corr,-0.0013727927306360142
101,cot,1,next_layer_corr,0.7965892028793398
101,cot,2,next_layer_corr,0.8669865102717175
101,cot,3,next_layer_corr,0.8576724557686658
101,cot,4,next_layer_corr,0.852406506496257
101,cot,5,next_layer_corr,0.8586396253075022
101,cot,6,next_layer_corr,0.8757629866279554
101,cot,7,next_layer_corr,0.8899242231620642
101,cot,8,next_layer_corr,0.9038698856956672
101,cot,9,next_layer_corr,0.9240914493119798
101,cot,10,next_layer_corr,0.9323088572071052
101,cot,11,next_layer_corr,0.9256440387990901
101,cot,12,next_layer_corr,0.9393632598846849
101,cot,13,next_layer_corr,0.9357987602269785
101,cot,14,next_layer_corr,0.9101633941276929
101,cot,15,next_layer_corr,0.9099208716487852
101,cot,16,next_layer_corr,0.8801829698073451
101,cot,17,next_layer_corr,0.9283951622776844
101,cot,18,next_layer_corr,0.9420374976045446
101,cot,19,next_layer_corr,0.9342350851971406
101,cot,20,next_layer_corr,0.9236932895934399
101,cot,21,next_layer_corr,0.9442071554209708
101,cot,22,next_layer_corr,0.9464401618984393
101,cot,23,next_layer_corr,0.379896050021828
101,cot,0,trajectory_curvature,2.57421875
101,cot,1,trajectory_curvature,2.59765625
101,cot,2,trajectory_curvature,2.58203125
101,cot,3,trajectory_curvature,2.56640625
101,cot,4,trajectory_curvature,2.55859375
101,cot,5,trajectory_curvature,2.560546875
101,cot,6,trajectory_curvature,2.5546875
101,cot,7,trajectory_curvature,2.55078125
101,cot,8,trajectory_curvature,2.54296875
101,cot,9,trajectory_curvature,2.541015625
101,cot,10,trajectory_curvature,2.5390625
101,cot,11,trajectory_curvature,2.53515625
101,cot,12,trajectory_curvature,2.533203125
101,cot,13,trajectory_curvature,2.52734375
101,cot,14,trajectory_curvature,2.5234375
101,cot,15,trajectory_curvature,2.517578125
101,cot,16,trajectory_curvature,2.51171875
101,cot,17,trajectory_curvature,2.517578125
101,cot,18,trajectory_curvature,2.515625
101,cot,19,trajectory_curvature,2.513671875
101,cot,20,trajectory_curvature,2.517578125
