comparison,g1,g2,layer,metric,g1_mean,g2_mean,cohens_d,p_value,significant
CoT Success vs Direct Failure,G4,G1,5,cos_slope,0.001142775108803021,0.00034383821039341125,0.33933551122103695,0.013,False
CoT Success vs Direct Failure,G4,G1,5,dist_slope,-0.021463788644391555,-0.02452208691466326,0.04131231978995379,0.78,False
CoT Success vs Direct Failure,G4,G1,5,early_late_ratio,1.021600067615509,0.9671421740452448,0.9785433243289025,0.0,True
CoT Success vs Direct Failure,G4,G1,5,radius_of_gyration,22.98478223627264,23.073884213765464,-0.14125544160715084,0.335,False
CoT Success vs Direct Failure,G4,G1,5,gyration_anisotropy,0.8265273046399157,0.9089444889446796,-5.566052547182334,0.0,True
CoT Success vs Direct Failure,G4,G1,5,drift_to_spread,1.3745827436447144,1.4319955170154572,-0.5431270298049848,0.001,True
CoT Success vs Direct Failure,G4,G1,5,dir_autocorr_lag2,-0.08632917065512047,-0.05674129199857508,-1.4599681234764086,0.0,True
CoT Success vs Direct Failure,G4,G1,5,dir_autocorr_lag4,0.048974601433358377,0.049171580261997076,-0.005342201252494674,0.975,False
CoT Success vs Direct Failure,G4,G1,5,dir_autocorr_lag8,0.012602266175566562,0.04455291878199201,-0.9174160901661887,0.0,True
CoT Success vs Direct Failure,G4,G1,5,vel_autocorr_lag1,-332.92204756303266,-360.6952616373698,1.3257311182492364,0.0,True
CoT Success vs Direct Failure,G4,G1,5,vel_autocorr_lag2,-67.3793644991788,-44.39453416188558,-1.1780652074039109,0.0,True
CoT Success vs Direct Failure,G4,G1,5,vel_autocorr_lag4,29.74027778651904,31.333408347020548,-0.05924197328201943,0.695,False
CoT Success vs Direct Failure,G4,G1,5,msd_exponent,0.1099022191676194,0.12413787130215151,-0.8377350095975719,0.0,True
CoT Success vs Direct Failure,G4,G1,5,cos_to_running_mean,0.6725913329557939,0.6797196543216706,-0.3520705415961148,0.014,False
CoT Success vs Direct Failure,G4,G1,5,cos_to_late_window,0.568399744684046,0.5372733542323113,0.7383358894092286,0.0,True
CoT Success vs Direct Failure,G4,G1,5,time_to_commit,28.6,7.16,2.14013789859444,0.0,True
CoT Success vs Direct Failure,G4,G1,5,recurrence_rate,1.3530722515981818e-05,0.0,0.8863482040505704,0.0,True
CoT Success vs Direct Failure,G4,G1,5,psd_slope,-0.9508169350650955,-1.249000709802279,0.4445755862682804,0.003,False
CoT Success vs Direct Failure,G4,G1,5,spectral_entropy,0.8801804668988301,0.8345997866056493,0.947320016982309,0.0,True
CoT Success vs Direct Failure,G4,G1,6,speed,31.432705688476563,32.307587445576985,-0.9441795456513039,0.0,True
CoT Success vs Direct Failure,G4,G1,6,dir_consistency,0.03452025557106187,0.04959636818617578,-1.7909321030628926,0.0,True
CoT Success vs Direct Failure,G4,G1,6,stabilization,-0.02829164681064317,0.03994269052345662,-0.6519516624388987,0.0,True
CoT Success vs Direct Failure,G4,G1,6,turning_angle,1.965751424702731,2.00026126742363,-2.342368803481109,0.0,True
CoT Success vs Direct Failure,G4,G1,6,dir_autocorr,-0.3801787110892209,-0.41151474197705584,2.3965707332472337,0.0,True
CoT Success vs Direct Failure,G4,G1,6,tortuosity,0.013811397179961157,0.03770889017730947,-6.808747415362217,0.0,True
CoT Success vs Direct Failure,G4,G1,6,effective_dim,24.46173439025879,16.07771580696106,3.4923753107447317,0.0,True
CoT Success vs Direct Failure,G4,G1,6,cos_slope,0.0009920968670139847,-0.0003913646515985076,0.5952202772667238,0.0,True
CoT Success vs Direct Failure,G4,G1,6,dist_slope,-0.02000243453954343,-0.0005201561213158479,-0.23438800729902443,0.114,False
CoT Success vs Direct Failure,G4,G1,6,early_late_ratio,1.0189332474361767,0.9542675151427586,1.148498324854451,0.0,True
CoT Success vs Direct Failure,G4,G1,6,radius_of_gyration,25.35541641928933,25.751521345774332,-0.5227311148879599,0.001,True
CoT Success vs Direct Failure,G4,G1,6,gyration_anisotropy,0.8277489244693937,0.9056941137227781,-5.064838281081321,0.0,True
CoT Success vs Direct Failure,G4,G1,6,drift_to_spread,1.3335096229206431,1.4652091697851817,-1.0484982640330338,0.0,True
CoT Success vs Direct Failure,G4,G1,6,dir_autocorr_lag2,-0.08946068449453871,-0.05359881381193792,-1.5796880565391713,0.0,True
CoT Success vs Direct Failure,G4,G1,6,dir_autocorr_lag4,0.051940205172550914,0.057389047941639196,-0.14820823595831245,0.302,False
CoT Success vs Direct Failure,G4,G1,6,dir_autocorr_lag8,0.013163152056619174,0.04564161293567543,-0.8889918629010561,0.0,True
CoT Success vs Direct Failure,G4,G1,6,vel_autocorr_lag1,-400.1395202636719,-450.9061911010742,1.6674157375607381,0.0,True
CoT Success vs Direct Failure,G4,G1,6,vel_autocorr_lag2,-84.76841028386896,-51.434099917461474,-1.227535874061671,0.0,True
CoT Success vs Direct Failure,G4,G1,6,vel_autocorr_lag4,40.440653105215596,48.288027673165004,-0.22942611564825968,0.126,False
CoT Success vs Direct Failure,G4,G1,6,msd_exponent,0.11416471204314739,0.12993794859693567,-0.9445507815449211,0.0,True
CoT Success vs Direct Failure,G4,G1,6,cos_to_running_mean,0.6652500651099466,0.6664479597409566,-0.05646774081194424,0.696,False
CoT Success vs Direct Failure,G4,G1,6,cos_to_late_window,0.55862806818702,0.521515508890152,0.8185915623296814,0.0,True
CoT Success vs Direct Failure,G4,G1,6,time_to_commit,32.67272727272727,9.846666666666666,2.028472592856853,0.0,True
CoT Success vs Direct Failure,G4,G1,6,recurrence_rate,0.0,0.0,0.0,1.0,False
CoT Success vs Direct Failure,G4,G1,6,psd_slope,-0.9756980035275751,-1.4868928472669898,0.6338577083896784,0.0,True
CoT Success vs Direct Failure,G4,G1,6,spectral_entropy,0.8760731981323608,0.8270193554610391,0.9397699329288535,0.0,True
CoT Success vs Direct Failure,G4,G1,7,speed,33.37985146262429,34.46245651245117,-1.2360795246693925,0.0,True
CoT Success vs Direct Failure,G4,G1,7,dir_consistency,0.03593361120332367,0.04964459119985496,-1.6727592416121697,0.0,True
CoT Success vs Direct Failure,G4,G1,7,stabilization,-0.028770767472653877,0.08203321690748565,-1.0902228380530412,0.0,True
CoT Success vs Direct Failure,G4,G1,7,turning_angle,1.9552137808366254,1.993801260391871,-2.4158348332283297,0.0,True
CoT Success vs Direct Failure,G4,G1,7,dir_autocorr,-0.37056287147782063,-0.4058408866326014,2.5012481177199275,0.0,True
CoT Success vs Direct Failure,G4,G1,7,tortuosity,0.01414608828384764,0.037156583120425496,-7.107794650058361,0.0,True
CoT Success vs Direct Failure,G4,G1,7,effective_dim,25.160942805897104,16.451279967625936,3.458238901355398,0.0,True
CoT Success vs Direct Failure,G4,G1,7,cos_slope,0.0009514807616784326,-0.00046651832382707645,0.6500961326928761,0.0,True
CoT Success vs Direct Failure,G4,G1,7,dist_slope,-0.02494122336293608,0.016028414724091493,-0.510158555172801,0.0,True
CoT Success vs Direct Failure,G4,G1,7,early_late_ratio,1.0235200275074352,0.9451474916934967,1.3362833219401973,0.0,True
CoT Success vs Direct Failure,G4,G1,7,radius_of_gyration,27.39082495949485,27.792953809102375,-0.5381667771181274,0.0,True
CoT Success vs Direct Failure,G4,G1,7,gyration_anisotropy,0.831259968478592,0.9053599558552404,-5.141142848918069,0.0,True
CoT Success vs Direct Failure,G4,G1,7,drift_to_spread,1.3401088107715953,1.4269294194380442,-0.7839849565323129,0.0,True
CoT Success vs Direct Failure,G4,G1,7,dir_autocorr_lag2,-0.09494725059379228,-0.0562527827546,-1.709160303635486,0.0,True
CoT Success vs Direct Failure,G4,G1,7,dir_autocorr_lag4,0.05165982178666372,0.057923249121716536,-0.16435024119549593,0.261,False
CoT Success vs Direct Failure,G4,G1,7,dir_autocorr_lag8,0.011902979090386486,0.0411215437066251,-0.8498237311264581,0.0,True
CoT Success vs Direct Failure,G4,G1,7,vel_autocorr_lag1,-439.7568731134588,-504.12284220377603,1.8811719105182285,0.0,True
CoT Success vs Direct Failure,G4,G1,7,vel_autocorr_lag2,-102.98864884810014,-63.03968016306559,-1.3462021566332942,0.0,True
CoT Success vs Direct Failure,G4,G1,7,vel_autocorr_lag4,44.74684319496155,59.374728196461994,-0.33850308446710875,0.022,False
CoT Success vs Direct Failure,G4,G1,7,msd_exponent,0.12924155672728024,0.14494932854814338,-0.8714746391559293,0.0,True
CoT Success vs Direct Failure,G4,G1,7,cos_to_running_mean,0.6699089234525507,0.6718330218394597,-0.09610118491716634,0.508,False
CoT Success vs Direct Failure,G4,G1,7,cos_to_late_window,0.5607998376542872,0.5211811828613281,0.9317819737747592,0.0,True
CoT Success vs Direct Failure,G4,G1,7,time_to_commit,32.163636363636364,12.66,1.5386478909847339,0.0,True
CoT Success vs Direct Failure,G4,G1,7,recurrence_rate,0.0,0.0,0.0,1.0,False
CoT Success vs Direct Failure,G4,G1,7,psd_slope,-0.8632990653486861,-1.179164682842855,0.4801041277103503,0.001,False
CoT Success vs Direct Failure,G4,G1,7,spectral_entropy,0.8899935645189813,0.8367138048669562,1.1037367721965587,0.0,True
CoT Success vs Direct Failure,G4,G1,8,speed,36.26025751287287,38.07040344238281,-1.6671758462061568,0.0,True
CoT Success vs Direct Failure,G4,G1,8,dir_consistency,0.0327608464793725,0.04754263454427317,-2.0099115538400505,0.0,True
CoT Success vs Direct Failure,G4,G1,8,stabilization,-0.050309069891343365,-0.019106142086058035,-0.3551222269032855,0.018,False
CoT Success vs Direct Failure,G4,G1,8,turning_angle,1.9603613311594184,1.9965377676486968,-2.1603153369708625,0.0,True
