problem_id,condition,group,correct,filename,n_layers,n_tokens,hidden_dim
92,cot,G3,False,92_cot.npy,37,82,2048
93,direct,G1,False,93_direct.npy,37,32,2048
93,cot,G4,True,93_cot.npy,37,71,2048
94,direct,G1,False,94_direct.npy,37,32,2048
94,cot,G4,True,94_cot.npy,37,51,2048
95,direct,G1,False,95_direct.npy,37,32,2048
95,cot,G3,False,95_cot.npy,37,128,2048
96,direct,G1,False,96_direct.npy,37,32,2048
96,cot,G3,False,96_cot.npy,37,128,2048
97,direct,G1,False,97_direct.npy,37,32,2048
97,cot,G3,False,97_cot.npy,37,128,2048
98,direct,G1,False,98_direct.npy,37,32,2048
98,cot,G3,False,98_cot.npy,37,128,2048
99,direct,G1,False,99_direct.npy,37,32,2048
99,cot,G4,True,99_cot.npy,37,128,2048
100,direct,G1,False,100_direct.npy,37,32,2048
100,cot,G4,True,100_cot.npy,37,128,2048
101,direct,G1,False,101_direct.npy,37,32,2048
101,cot,G3,False,101_cot.npy,37,128,2048
102,direct,G1,False,102_direct.npy,37,32,2048
102,cot,G4,True,102_cot.npy,37,69,2048
103,direct,G1,False,103_direct.npy,37,32,2048
103,cot,G4,True,103_cot.npy,37,81,2048
104,direct,G1,False,104_direct.npy,37,32,2048
104,cot,G3,False,104_cot.npy,37,128,2048
105,direct,G1,False,105_direct.npy,37,32,2048
105,cot,G3,False,105_cot.npy,37,128,2048
106,direct,G1,False,106_direct.npy,37,32,2048
106,cot,G3,False,106_cot.npy,37,128,2048
107,direct,G1,False,107_direct.npy,37,32,2048
107,cot,G4,True,107_cot.npy,37,128,2048
108,direct,G1,False,108_direct.npy,37,32,2048
108,cot,G3,False,108_cot.npy,37,128,2048
109,direct,G1,False,109_direct.npy,37,32,2048
109,cot,G3,False,109_cot.npy,37,128,2048
110,direct,G1,False,110_direct.npy,37,32,2048
110,cot,G3,False,110_cot.npy,37,128,2048
111,direct,G1,False,111_direct.npy,37,32,2048
111,cot,G4,True,111_cot.npy,37,69,2048
112,direct,G1,False,112_direct.npy,37,32,2048
112,cot,G3,False,112_cot.npy,37,128,2048
113,direct,G1,False,113_direct.npy,37,32,2048
113,cot,G4,True,113_cot.npy,37,69,2048
114,direct,G1,False,114_direct.npy,37,32,2048
