problem_id,condition,group,correct,filename,n_layers,n_tokens,hidden_dim
96,cot,G4,True,96_cot.npy,25,65,896
97,direct,G1,False,97_direct.npy,25,5,896
97,cot,G3,False,97_cot.npy,25,73,896
98,direct,G1,False,98_direct.npy,25,4,896
98,cot,G4,True,98_cot.npy,25,63,896
99,direct,G2,True,99_direct.npy,25,26,896
99,cot,G4,True,99_cot.npy,25,73,896
100,direct,G2,True,100_direct.npy,25,28,896
100,cot,G4,True,100_cot.npy,25,73,896
101,direct,G1,False,101_direct.npy,25,4,896
101,cot,G4,True,101_cot.npy,25,67,896
102,direct,G1,False,102_direct.npy,25,4,896
102,cot,G4,True,102_cot.npy,25,94,896
103,direct,G1,False,103_direct.npy,25,27,896
103,cot,G4,True,103_cot.npy,25,128,896
104,direct,G1,False,104_direct.npy,25,4,896
104,cot,G4,True,104_cot.npy,25,74,896
105,direct,G1,False,105_direct.npy,25,5,896
105,cot,G4,True,105_cot.npy,25,71,896
106,direct,G1,False,106_direct.npy,25,4,896
106,cot,G4,True,106_cot.npy,25,67,896
107,direct,G1,False,107_direct.npy,25,4,896
107,cot,G4,True,107_cot.npy,25,73,896
108,direct,G1,False,108_direct.npy,25,4,896
108,cot,G4,True,108_cot.npy,25,67,896
109,direct,G1,False,109_direct.npy,25,4,896
109,cot,G4,True,109_cot.npy,25,63,896
110,direct,G1,False,110_direct.npy,25,5,896
110,cot,G3,False,110_cot.npy,25,128,896
111,direct,G1,False,111_direct.npy,25,4,896
111,cot,G3,False,111_cot.npy,25,102,896
112,direct,G1,False,112_direct.npy,25,4,896
112,cot,G4,True,112_cot.npy,25,128,896
113,direct,G1,False,113_direct.npy,25,4,896
113,cot,G3,False,113_cot.npy,25,76,896
114,direct,G1,False,114_direct.npy,25,32,896
114,cot,G4,True,114_cot.npy,25,128,896
115,direct,G1,False,115_direct.npy,25,4,896
115,cot,G3,False,115_cot.npy,25,72,896
116,direct,G1,False,116_direct.npy,25,27,896
116,cot,G3,False,116_cot.npy,25,128,896
117,direct,G1,False,117_direct.npy,25,4,896
117,cot,G4,True,117_cot.npy,25,67,896
118,direct,G2,True,118_direct.npy,25,23,896
118,cot,G4,True,118_cot.npy,25,60,896
119,direct,G1,False,119_direct.npy,25,4,896
119,cot,G4,True,119_cot.npy,25,63,896
120,direct,G1,False,120_direct.npy,25,5,896
120,cot,G4,True,120_cot.npy,25,71,896
121,direct,G1,False,121_direct.npy,25,4,896
121,cot,G4,True,121_cot.npy,25,67,896
122,direct,G1,False,122_direct.npy,25,4,896
122,cot,G3,False,122_cot.npy,25,67,896
123,direct,G2,True,123_direct.npy,25,12,896
123,cot,G4,True,123_cot.npy,25,69,896
124,direct,G2,True,124_direct.npy,25,26,896
124,cot,G4,True,124_cot.npy,25,70,896
125,direct,G1,False,125_direct.npy,25,4,896
125,cot,G4,True,125_cot.npy,25,67,896
126,direct,G2,True,126_direct.npy,25,26,896
126,cot,G4,True,126_cot.npy,25,74,896
127,direct,G1,False,127_direct.npy,25,3,896
127,cot,G4,True,127_cot.npy,25,67,896
128,direct,G1,False,128_direct.npy,25,4,896
128,cot,G3,False,128_cot.npy,25,67,896
129,direct,G1,False,129_direct.npy,25,4,896
129,cot,G4,True,129_cot.npy,25,71,896
130,direct,G1,False,130_direct.npy,25,4,896
130,cot,G3,False,130_cot.npy,25,128,896
131,direct,G2,True,131_direct.npy,25,24,896
131,cot,G4,True,131_cot.npy,25,128,896
132,direct,G1,False,132_direct.npy,25,3,896
132,cot,G4,True,132_cot.npy,25,61,896
133,direct,G1,False,133_direct.npy,25,32,896
133,cot,G4,True,133_cot.npy,25,67,896
134,direct,G2,True,134_direct.npy,25,13,896
134,cot,G4,True,134_cot.npy,25,67,896
135,direct,G2,True,135_direct.npy,25,13,896
135,cot,G4,True,135_cot.npy,25,64,896
136,direct,G1,False,136_direct.npy,25,25,896
136,cot,G3,False,136_cot.npy,25,71,896
137,direct,G1,False,137_direct.npy,25,32,896
137,cot,G4,True,137_cot.npy,25,128,896
138,direct,G1,False,138_direct.npy,25,4,896
138,cot,G4,True,138_cot.npy,25,71,896
139,direct,G2,True,139_direct.npy,25,24,896
139,cot,G4,True,139_cot.npy,25,69,896
140,direct,G1,False,140_direct.npy,25,4,896
140,cot,G4,True,140_cot.npy,25,67,896
141,direct,G1,False,141_direct.npy,25,32,896
141,cot,G3,False,141_cot.npy,25,128,896
142,direct,G1,False,142_direct.npy,25,3,896
142,cot,G4,True,142_cot.npy,25,63,896
143,direct,G1,False,143_direct.npy,25,32,896
143,cot,G3,False,143_cot.npy,25,128,896
144,direct,G1,False,144_direct.npy,25,32,896
144,cot,G3,False,144_cot.npy,25,128,896
145,direct,G1,False,145_direct.npy,25,32,896
145,cot,G3,False,145_cot.npy,25,128,896
146,direct,G1,False,146_direct.npy,25,4,896
146,cot,G4,True,146_cot.npy,25,63,896
147,direct,G2,True,147_direct.npy,25,26,896
147,cot,G4,True,147_cot.npy,25,73,896
148,direct,G2,True,148_direct.npy,25,25,896
148,cot,G4,True,148_cot.npy,25,71,896
149,direct,G2,True,149_direct.npy,25,26,896
149,cot,G4,True,149_cot.npy,25,74,896
150,direct,G1,False,150_direct.npy,25,5,896
150,cot,G4,True,150_cot.npy,25,69,896
151,direct,G1,False,151_direct.npy,25,4,896
151,cot,G4,True,151_cot.npy,25,67,896
152,direct,G1,False,152_direct.npy,25,4,896
152,cot,G4,True,152_cot.npy,25,65,896
153,direct,G1,False,153_direct.npy,25,4,896
153,cot,G4,True,153_cot.npy,25,62,896
154,direct,G1,False,154_direct.npy,25,4,896
154,cot,G4,True,154_cot.npy,25,128,896
155,direct,G1,False,155_direct.npy,25,4,896
155,cot,G4,True,155_cot.npy,25,128,896
156,direct,G1,False,156_direct.npy,25,32,896
156,cot,G4,True,156_cot.npy,25,128,896
157,direct,G1,False,157_direct.npy,25,4,896
157,cot,G4,True,157_cot.npy,25,63,896
158,direct,G1,False,158_direct.npy,25,4,896
158,cot,G4,True,158_cot.npy,25,67,896
159,direct,G2,True,159_direct.npy,25,24,896
159,cot,G4,True,159_cot.npy,25,69,896
160,direct,G2,True,160_direct.npy,25,28,896
160,cot,G4,True,160_cot.npy,25,97,896
161,direct,G1,False,161_direct.npy,25,4,896
161,cot,G3,False,161_cot.npy,25,71,896
162,direct,G1,False,162_direct.npy,25,4,896
162,cot,G4,True,162_cot.npy,25,67,896
163,direct,G1,False,163_direct.npy,25,4,896
163,cot,G3,False,163_cot.npy,25,128,896
164,direct,G1,False,164_direct.npy,25,4,896
164,cot,G4,True,164_cot.npy,25,76,896
165,direct,G2,True,165_direct.npy,25,13,896
165,cot,G4,True,165_cot.npy,25,67,896
166,direct,G1,False,166_direct.npy,25,27,896
166,cot,G3,False,166_cot.npy,25,71,896
167,direct,G1,False,167_direct.npy,25,28,896
167,cot,G4,True,167_cot.npy,25,71,896
168,direct,G1,False,168_direct.npy,25,26,896
168,cot,G3,False,168_cot.npy,25,128,896
169,direct,G1,False,169_direct.npy,25,4,896
169,cot,G3,False,169_cot.npy,25,118,896
170,direct,G1,False,170_direct.npy,25,4,896
170,cot,G4,True,170_cot.npy,25,128,896
171,direct,G1,False,171_direct.npy,25,4,896
171,cot,G4,True,171_cot.npy,25,69,896
172,direct,G1,False,172_direct.npy,25,4,896
172,cot,G3,False,172_cot.npy,25,66,896
173,direct,G1,False,173_direct.npy,25,4,896
173,cot,G3,False,173_cot.npy,25,65,896
174,direct,G1,False,174_direct.npy,25,4,896
174,cot,G4,True,174_cot.npy,25,65,896
175,direct,G1,False,175_direct.npy,25,4,896
175,cot,G4,True,175_cot.npy,25,67,896
176,direct,G1,False,176_direct.npy,25,4,896
176,cot,G4,True,176_cot.npy,25,128,896
177,direct,G1,False,177_direct.npy,25,4,896
177,cot,G4,True,177_cot.npy,25,65,896
178,direct,G1,False,178_direct.npy,25,29,896
178,cot,G4,True,178_cot.npy,25,71,896
179,direct,G1,False,179_direct.npy,25,27,896
179,cot,G3,False,179_cot.npy,25,128,896
180,direct,G2,True,180_direct.npy,25,27,896
180,cot,G3,False,180_cot.npy,25,128,896
181,direct,G1,False,181_direct.npy,25,4,896
181,cot,G3,False,181_cot.npy,25,128,896
182,direct,G1,False,182_direct.npy,25,4,896
182,cot,G4,True,182_cot.npy,25,128,896
183,direct,G1,False,183_direct.npy,25,4,896
183,cot,G3,False,183_cot.npy,25,128,896
184,direct,G1,False,184_direct.npy,25,4,896
184,cot,G4,True,184_cot.npy,25,63,896
185,direct,G2,True,185_direct.npy,25,25,896
185,cot,G3,False,185_cot.npy,25,128,896
186,direct,G1,False,186_direct.npy,25,4,896
186,cot,G4,True,186_cot.npy,25,67,896
187,direct,G2,True,187_direct.npy,25,25,896
