comparison,g1,g2,layer,metric,g1_mean,g2_mean,cohens_d,p_value,significant
CoT Success vs Direct Failure,G4,G1,4,speed,10.508436831658196,9.54302152641389,2.782391695585074,0.0,True
CoT Success vs Direct Failure,G4,G1,4,dir_consistency,0.04805851767816881,0.34601493365308533,-2.7523452617622137,0.0,True
CoT Success vs Direct Failure,G4,G1,4,stabilization,0.005991377007783645,0.43013840827066924,-1.1323651084004307,0.0,True
CoT Success vs Direct Failure,G4,G1,4,turning_angle,1.9701313635693538,1.9334056218143416,0.9016731168697016,0.0,True
CoT Success vs Direct Failure,G4,G1,4,dir_autocorr,-0.3866741937906753,-0.35602580791737837,-0.8554560307255282,0.0,True
CoT Success vs Direct Failure,G4,G1,4,tortuosity,0.035612319199359956,0.34176827749983985,-2.7306438044413213,0.0,True
CoT Success vs Direct Failure,G4,G1,4,effective_dim,13.717208447477743,3.289343701179371,5.238224003138069,0.0,True
CoT Success vs Direct Failure,G4,G1,4,cos_slope,0.0002630045578345902,0.10561980443672266,-2.4358841264566786,0.0,True
CoT Success vs Direct Failure,G4,G1,4,dist_slope,-0.00026164327415495426,-0.6004902435003124,1.7306355495028996,0.0,True
CoT Success vs Direct Failure,G4,G1,4,early_late_ratio,0.9442667009584572,1.0867091518822716,-2.2757955203784377,0.0,True
CoT Success vs Direct Failure,G4,G1,4,radius_of_gyration,8.2252848586694,6.495109083198825,4.812754809377228,0.0,True
CoT Success vs Direct Failure,G4,G1,4,gyration_anisotropy,0.8742746776531637,0.9208542081895668,-0.9887008314808712,0.0,True
CoT Success vs Direct Failure,G4,G1,4,drift_to_spread,1.410288457913249,1.7274842650784172,-1.8526291046813406,0.0,True
CoT Success vs Direct Failure,G4,G1,4,dir_autocorr_lag2,-0.09783052232099752,-0.0969378671518737,-0.04924896812006137,0.716,False
CoT Success vs Direct Failure,G4,G1,4,dir_autocorr_lag4,0.07116923561698708,0.08959499269516928,-0.38697952881758296,0.018,False
CoT Success vs Direct Failure,G4,G1,4,dir_autocorr_lag8,-0.0040990327402161955,0.0031556190095014232,-0.11917733309184356,0.444,False
CoT Success vs Direct Failure,G4,G1,4,vel_autocorr_lag1,-43.82670370880264,-33.66356676842968,-2.000116821014947,0.0,True
CoT Success vs Direct Failure,G4,G1,4,vel_autocorr_lag2,-11.149714998065624,-9.668435758160006,-0.6987367000919436,0.0,True
CoT Success vs Direct Failure,G4,G1,4,vel_autocorr_lag4,7.41824927698871,8.117818881405725,-0.14322920483604165,0.39,False
CoT Success vs Direct Failure,G4,G1,4,msd_exponent,0.1286609012239337,0.04856448843738684,4.782486117785917,0.0,True
CoT Success vs Direct Failure,G4,G1,4,cos_to_running_mean,0.6570254104554386,0.827348895468566,-4.134533618186638,0.0,True
CoT Success vs Direct Failure,G4,G1,4,cos_to_late_window,0.5296997804812786,0.6103070590231153,-3.127502652508856,0.0,True
CoT Success vs Direct Failure,G4,G1,4,time_to_commit,19.233183856502244,16.11111111111111,0.4689043147273023,0.004,False
CoT Success vs Direct Failure,G4,G1,4,recurrence_rate,0.0,0.0,0.0,1.0,False
CoT Success vs Direct Failure,G4,G1,4,psd_slope,-0.14717323036115232,0.04636278410836067,-0.3288407690912436,0.038,False
CoT Success vs Direct Failure,G4,G1,4,spectral_entropy,0.912291002576076,0.8884049826537375,0.7581096499124969,0.0,True
CoT Success vs Direct Failure,G4,G1,5,speed,10.902019594816883,9.633312565112403,3.800993991326914,0.0,True
CoT Success vs Direct Failure,G4,G1,5,dir_consistency,0.04975929627437224,0.36310399714329467,-2.806571390424245,0.0,True
CoT Success vs Direct Failure,G4,G1,5,stabilization,0.012913056037609793,0.17086885229523358,-0.42848927141942583,0.0,False
CoT Success vs Direct Failure,G4,G1,5,turning_angle,1.968818599333143,1.9135769012003292,1.1956308493726708,0.0,True
CoT Success vs Direct Failure,G4,G1,5,dir_autocorr,-0.38566255061615745,-0.33634959890072,-1.1964959150732521,0.0,True
CoT Success vs Direct Failure,G4,G1,5,tortuosity,0.03764142129453304,0.3577089169654648,-2.752640591573448,0.0,True
CoT Success vs Direct Failure,G4,G1,5,effective_dim,13.881666666723687,3.3240954751010543,5.115289243985414,0.0,True
CoT Success vs Direct Failure,G4,G1,5,cos_slope,0.00230552166799783,0.11631746438250727,-2.449964490080795,0.0,True
CoT Success vs Direct Failure,G4,G1,5,dist_slope,-0.008731251679555928,-1.0010025588564944,2.2353588686198993,0.0,True
