model,layer,metric,g4_mean,g1_mean,t_stat,p_val,cohen_d,n_g4,n_g1
pythia410m,5,clean_dir_consistency,0.06606222210185865,0.8910878916772512,-58.34248378503454,7.450129810723005e-121,-6.013230783092423,7,208
pythia410m,5,clean_stabilisation,0.09559700525611882,-0.003736670026815452,6.763934247375397,0.000286390260523894,2.1937702802476204,7,208
pythia410m,5,clean_radius_of_gyration,12.37748009817941,8.84084759079493,58.63751916110875,4.332968627112825e-41,7.187550197163786,7,208
pythia410m,5,clean_effective_dimension,7.049779619489398,1.0044619630162532,17.49205031659199,2.2323354205397603e-06,10.070961332844664,7,208
pythia410m,5,full_msd_exponent,0.035369560852841715,0.005830154245614688,0.5045081925546205,0.624622650685851,0.22607551629309466,7,11
pythia410m,5,full_fractal_dimension,64.3315405537022,4020.120425116731,-0.9950180717084309,0.34319396452869394,-0.4449859615467238,7,11
pythia410m,6,clean_phase_count,3.5714285714285716,1.0025445292620865,12.714318897948422,1.4485723414018504e-05,7.303449715236188,7,393
pythia410m,6,full_speed,17.358650714285712,17.235433551399492,1.677056174797668,0.10382494716530968,0.1590757975250769,7,393
pythia410m,6,full_turn_angle,2.021758488246373,1.2237830665578673,15.565366718539257,5.252865251988817e-43,1.1206161062352389,7,393
pythia410m,6,full_tortuosity,0.06620457471428572,0.5515223495216285,-24.36776200551194,9.703676009113823e-81,-1.7624936897036103,7,393
pythia410m,6,full_dir_consistency,0.0738709702857143,0.5566038495318066,-24.491232221306767,5.863769805749722e-81,-1.7770557110724134,7,393
pythia410m,6,full_stabilisation,-0.11036338885937683,0.22239680834154282,-9.68861372797637,7.486387220060701e-07,-1.291255594818702,7,393
pythia410m,6,full_radius_of_gyration,12.977651999999997,10.308216998727735,28.299761713409954,4.1311334664459727e-88,2.105211265009057,7,393
pythia410m,6,full_effective_dimension,8.62382984161377,2.189421636760993,14.769581193669104,3.9988216910026205e-06,5.340870239912578,7,393
pythia410m,6,full_cos_slope_to_final,0.003112169879692829,0.0052088933337041,-5.544194772233612,8.363469470088953e-07,-0.6856870488617091,7,186
pythia410m,6,full_time_to_commit,9.857142857142858,1.913978494623656,10.718023390407005,3.449376025307441e-05,5.485622328674054,7,186
pythia410m,6,full_commitment_sharpness,0.5569705963134766,0.46556156681429955,4.4449512571465055,1.4959989736607182e-05,0.4652515592877189,7,186
pythia410m,6,full_phase_count,3.4285714285714284,1.0559796437659033,4.149942022661453,0.005985173002873725,2.321853253084629,7,393
pythia410m,6,clean_interlayer_alignment,0.8253816110747201,0.43939316348568475,18.436785790041295,4.079975271669605e-55,1.317138468383981,7,393
pythia410m,6,full_interlayer_alignment,0.8230413657142857,0.8336053944783716,-20.384764768375202,1.5944373301286055e-21,-1.8683640628539282,7,393
pythia410m,6,clean_speed,17.68005507332938,16.550059797672127,11.351567670051681,6.712982514316713e-10,1.6473071240623292,7,208
pythia410m,6,clean_turn_angle,2.054725476673671,0.46042882479154146,27.47781586675002,5.845714437444987e-72,2.7398311255360657,7,208
pythia410m,6,clean_tortuosity,0.06058273464441293,0.8951931524162109,-62.21052783778173,3.641378874546336e-135,-6.302322031007586,7,208
pythia410m,6,clean_dir_consistency,0.06610542961529318,0.8948683459311724,-60.8144540555223,8.228442252392633e-126,-6.25028803796575,7,208
pythia410m,6,clean_stabilisation,-0.024198035918679247,-0.003841805871220232,-0.739303092684967,0.48659126685591986,-0.33207295726690866,7,208
pythia410m,6,clean_radius_of_gyration,12.815174239022392,8.710123692567532,66.11512940245198,2.390693577270184e-54,7.759447854671643,7,208
pythia410m,6,clean_effective_dimension,7.518211228506906,1.0067479449969072,15.389419126130106,4.7373347028322635e-06,8.847471913090127,7,208
pythia410m,6,full_msd_exponent,0.07924996632837909,0.07857673399047155,0.011564677847254696,0.9909995187271304,0.0051739102892563345,7,11
pythia410m,6,full_fractal_dimension,25.389323320098665,83.42858835384381,-1.990997906237449,0.07445555366060722,-0.8905299257323169,7,11
pythia410m,7,clean_phase_count,3.2857142857142856,1.0025445292620865,7.990777262783869,0.00020460724581214507,4.601752939649662,7,393
pythia410m,7,full_speed,18.025376285714287,17.932465427480917,1.2283680168910538,0.23531208298749337,0.13373192354413255,7,393
pythia410m,7,full_turn_angle,1.990073834146772,1.207461841840477,15.524239910705504,8.13055469621037e-43,1.1141814890914856,7,393
pythia410m,7,full_tortuosity,0.06623562885714286,0.5572101618549619,-24.944050131847668,3.5136968938731415e-83,-1.804041422531031,7,393
pythia410m,7,full_dir_consistency,0.07047237342857142,0.5622049811450383,-25.24883372157421,3.556130897358381e-84,-1.831388742094342,7,393
pythia410m,7,full_stabilisation,-0.08078731533293118,0.24803671661876292,-8.871983627748296,2.5139344805823456e-06,-1.2166376786162996,7,393
pythia410m,7,full_radius_of_gyration,13.82677042857143,10.850840547073794,29.303569926154125,9.038852491183116e-75,2.247589409169985,7,393
pythia410m,7,full_effective_dimension,9.441635131835938,2.2265528528441605,14.90050074538741,4.021645654427469e-06,5.6336730343883215,7,393
pythia410m,7,full_cos_slope_to_final,0.0051913168362219,0.009315828172413979,-8.324295258536393,1.6112244058319944e-14,-0.875899896484809,7,186
pythia410m,7,full_time_to_commit,9.857142857142858,1.967741935483871,10.646271793150866,3.5944209793932965e-05,5.458359343384573,7,186
pythia410m,7,full_commitment_sharpness,0.45968777792794363,0.47526467743740286,-0.7337246628945606,0.4640288722672032,-0.0782875916404145,7,186
pythia410m,7,full_phase_count,4.571428571428571,1.0610687022900764,11.779840748008159,2.130782282100554e-05,6.044867016206796,7,393
pythia410m,7,clean_interlayer_alignment,0.8253816110747201,0.43939316348568475,18.436785790041295,4.079975271669605e-55,1.317138468383981,7,393
pythia410m,7,full_interlayer_alignment,0.8230413657142857,0.8336053944783716,-20.384764768375202,1.5944373301286055e-21,-1.8683640628539282,7,393
pythia410m,7,clean_speed,18.287962232317245,17.413787809702065,8.438158941825176,2.232621882746895e-07,1.2836700091596862,7,208
pythia410m,7,clean_turn_angle,2.018703409603664,0.4555083249623959,27.37481733681473,1.3703930552852321e-71,2.7162124981141242,7,208
pythia410m,7,clean_tortuosity,0.06658023915120533,0.8970017361526306,-62.47304427428633,1.4110251776579946e-132,-6.369315932531337,7,208
pythia410m,7,clean_dir_consistency,0.07113298880202425,0.8965231072730743,-60.722725928580175,8.591881771297875e-119,-6.305888400201656,7,208
pythia410m,7,clean_stabilisation,-0.007984447989234362,-0.003876361926027203,-0.12179739957000733,0.9069349468406093,-0.05854947221909381,7,208
pythia410m,7,clean_radius_of_gyration,13.678120749337333,9.181232117689573,63.767502783301914,4.01035599418482e-35,8.166524168269442,7,208
pythia410m,7,clean_effective_dimension,8.227726527622767,1.0096746683120728,15.299431097832912,4.88933723487697e-06,8.771562946903423,7,208
pythia410m,7,full_msd_exponent,0.11237437311582534,0.13172129697096194,-0.26491387848161846,0.7964537618611583,-0.11847861992869176,7,11
pythia410m,7,full_fractal_dimension,17.80815959557943,37.26635498665071,-2.41033822125982,0.03664030699512413,-1.0780389826050871,7,11
pythia410m,8,clean_phase_count,2.2857142857142856,1.0025445292620865,6.95691102918207,0.00043717710599663103,3.9922089401671834,7,393
pythia410m,8,full_speed,18.21132114285714,18.485701072264632,-3.788294354277438,0.001756342243193317,-0.43775985284210167,7,393
pythia410m,8,full_turn_angle,1.9816687617983137,1.2066851996890158,15.304400383109433,6.804269959615122e-42,1.104178381809725,7,393
pythia410m,8,full_tortuosity,0.06599037857142856,0.562357913832061,-25.585577894074092,7.323163842081568e-86,-1.850791359152151,7,393
pythia410m,8,full_dir_consistency,0.0686092232857143,0.5642173370508906,-25.59566076053068,1.3498090417809565e-85,-1.8569309914298748,7,393
pythia410m,8,full_stabilisation,-0.10598734330238181,0.15188738169261712,-7.837843548558054,4.3903543938660684e-05,-1.4073391769352228,7,393
pythia410m,8,full_radius_of_gyration,14.094332285714286,11.215893122137405,24.03954233114946,1.4658856068748647e-22,2.2408285362328497,7,393
pythia410m,8,full_effective_dimension,9.309006009783063,2.258633737345688,13.542377624895813,7.443718776821055e-06,5.270498810016813,7,393
pythia410m,8,full_cos_slope_to_final,0.006761621547551028,0.027409893621077378,-32.94454905373152,1.7765288376205944e-35,-4.137456930497806,7,186
