model,layer,group_a,group_b,metric,cohen_d,p_val,mean_a,mean_b
qwen15b,23,G1,G4,full_stabilisation,-1.6966910096819818,1.0852244175419776e-51,-9.377488872740864,-0.04876217577213212
qwen15b,23,G1,G4,full_radius_of_gyration,-3.0802960509929047,6.950995367322468e-111,64.78422691860465,81.14952054400001
qwen15b,23,G1,G4,full_effective_dimension,-6.017083366370942,1.964245557596106e-284,2.636439303557078,16.00081741333008
qwen15b,23,G1,G4,full_cos_slope_to_final,1.3308753415931187,1.214811747939354e-34,0.0392899394244432,0.0018711111395189378
qwen15b,23,G1,G4,full_time_to_commit,-2.503731950242556,2.298275087767413e-118,0.9790794979079498,23.552
qwen15b,23,G1,G4,full_commitment_sharpness,0.8920425362881602,6.664075663306102e-20,11.062867783103528,6.870254069010417
qwen15b,23,G1,G4,full_phase_count,-4.576937751012832,9.269675397473136e-210,1.0968992248062015,11.904
qwen15b,23,G1,G4,clean_interlayer_alignment,-4.588128508092559,4.480913023564289e-155,0.8298919057661249,0.8563350677490235
qwen15b,23,G1,G4,full_interlayer_alignment,-4.5174490512741405,1.1960806033985383e-152,0.8302401836434108,0.85609524016
qwen15b,23,G1,G4,clean_speed,-0.5162125438975481,1.2592388496587654e-08,91.57101455215336,95.55642071533204
qwen15b,23,G1,G4,clean_turn_angle,-0.42955814706796874,1.4487501915572599e-06,1.8840740170589714,1.9201484959920248
qwen15b,23,G1,G4,clean_tortuosity,4.083074967944013,2.061354235291651e-127,0.27025887918795727,0.028998302941520962
qwen15b,23,G1,G4,clean_dir_consistency,4.623217248253584,3.363079174777908e-140,0.28671271867992343,0.040406163300077076
qwen15b,23,G1,G4,clean_stabilisation,-1.6976641580775067,9.843626349958295e-52,-9.41026110495972,-0.12686590223721475
qwen15b,23,G1,G4,clean_radius_of_gyration,-3.298800383776916,2.1678866447333745e-122,63.9613428485486,80.75154581705729
qwen15b,23,G1,G4,clean_effective_dimension,-5.894580558910711,6.469862195100904e-259,2.4488320706426636,15.244019449869791
qwen15b,23,G1,G4,clean_cos_slope_to_final,1.3193307158995753,3.9881157977423585e-33,0.040682970861004066,0.003632640013519057
qwen15b,23,G1,G4,clean_time_to_commit,-2.52824742260727,6.083731306462468e-119,0.8138528138528138,23.552
qwen15b,23,G1,G4,clean_commitment_sharpness,0.9430475292992822,4.463283519032881e-21,11.288639720900234,6.870254069010417
qwen15b,23,G1,G4,full_msd_exponent,1.9600646449322183,0.002968199834184896,0.14059687182530334,0.07656652768274703
qwen15b,23,G1,G4,full_fractal_dimension,-1.7152121429620792,0.00022332885762316136,15.649413824890972,29.229766224898135
qwen15b,23,G2,G3,clean_phase_count,-8.20274462940624,5.468458780557949e-20,1.0,11.52
qwen15b,23,G2,G3,full_speed,1.3102172557109117,8.98229759457772e-18,103.83139468309861,96.34098796
qwen15b,23,G2,G3,full_turn_angle,0.8713869588427191,3.390768850557319e-11,2.0287387606123803,1.8938002252578736
qwen15b,23,G2,G3,full_tortuosity,6.7245939548515254,6.72412166935902e-100,0.33567694302816903,0.0255895288
qwen15b,23,G2,G3,full_dir_consistency,7.317056241079563,3.736910604442369e-106,0.3336533984507042,0.03232037248
qwen15b,23,G2,G3,full_stabilisation,0.5033678264092788,4.2845153335890406e-05,2.335175962851081,-0.12332734520017041
qwen15b,23,G2,G3,full_radius_of_gyration,-4.870679240818532,3.4896246053658415e-59,63.42267653521125,82.97084956
qwen15b,23,G2,G3,full_effective_dimension,-10.2343951170487,1.021993963840775e-22,1.5879436185662175,17.78719985961914
qwen15b,23,G2,G3,full_cos_slope_to_final,-1.789107016810284,1.3677998787989284e-20,-0.05644873471363727,0.001367033277515268
qwen15b,23,G2,G3,full_time_to_commit,-3.3987905692166445,1.8108346157399815e-11,0.14130434782608695,25.08
qwen15b,23,G2,G3,full_commitment_sharpness,-0.2560117704996161,0.13006820663941127,7.7752653204876445,8.781477661132813
qwen15b,23,G2,G3,full_phase_count,-7.5872543125416705,3.361171529591306e-19,1.0,11.76
qwen15b,23,G2,G3,clean_interlayer_alignment,-6.00480662030004,3.512603595847706e-40,0.8245642264963875,0.8516685628890991
qwen15b,23,G2,G3,full_interlayer_alignment,-6.010317064269214,1.693864230931542e-41,0.8245642257042255,0.8515205640000001
qwen15b,23,G2,G3,clean_speed,1.3547162239297388,1.2944136080238388e-18,103.83139473283795,96.08478942871093
qwen15b,23,G2,G3,clean_turn_angle,0.8906496309706473,1.4337349348427356e-11,2.0287387606123803,1.8908096075057983
qwen15b,23,G2,G3,clean_tortuosity,6.708606423138729,5.265238713004527e-100,0.33567694354225214,0.02626147948205466
qwen15b,23,G2,G3,clean_dir_consistency,7.229317297211909,6.985445635113965e-106,0.33365339880258266,0.03581103019416328
qwen15b,23,G2,G3,clean_stabilisation,0.5156387628334279,2.855325236844734e-05,2.335175962851081,-0.18337387008773198
qwen15b,23,G2,G3,clean_radius_of_gyration,-4.767467196022891,2.7662278010911943e-53,63.42267667743522,82.73792266845703
qwen15b,23,G2,G3,clean_effective_dimension,-9.642869451737774,4.290360332350862e-22,1.5879436185662175,16.911546363830567
qwen15b,23,G2,G3,clean_cos_slope_to_final,-1.8354213202111238,3.154222809724276e-21,-0.05644873471363727,0.002871122028468004
qwen15b,23,G2,G3,clean_time_to_commit,-3.3987905692166445,1.8108346157399815e-11,0.14130434782608695,25.08
qwen15b,23,G2,G3,clean_commitment_sharpness,-0.2560117704996161,0.13006820663941127,7.7752653204876445,8.781477661132813
qwen15b,23,G2,G4,clean_phase_count,-4.872574161584224,1.365360423164117e-209,1.0,11.914666666666667
qwen15b,23,G2,G4,full_speed,1.3843248588065904,6.572755457723134e-23,103.83139468309861,95.97318933866666
qwen15b,23,G2,G4,full_turn_angle,0.6802772770283401,5.246346221059646e-08,2.0287387606123803,1.922879786491394
qwen15b,23,G2,G4,full_tortuosity,6.6568243936311475,1.2414807494106768e-98,0.33567694302816903,0.027827008466666664
qwen15b,23,G2,G4,full_dir_consistency,7.185220711545675,2.708573445410352e-103,0.3336533984507042,0.03688327695733333
qwen15b,23,G2,G4,full_stabilisation,0.48808965442746693,6.981945134439681e-05,2.335175962851081,-0.04876217577213212
qwen15b,23,G2,G4,full_radius_of_gyration,-4.188556095442806,3.677907887693797e-83,63.42267653521125,81.14952054400001
qwen15b,23,G2,G4,full_effective_dimension,-6.763535319148407,3.725565856963833e-279,1.5879436185662175,16.00081741333008
qwen15b,23,G2,G4,full_cos_slope_to_final,-1.804450220119885,8.38521185557827e-21,-0.05644873471363727,0.0018711111395189378
qwen15b,23,G2,G4,full_time_to_commit,-2.6056412759022165,1.4595815844095442e-122,0.14130434782608695,23.552
qwen15b,23,G2,G4,full_commitment_sharpness,0.22674445928147635,0.11072650930556571,7.7752653204876445,6.870254069010417
qwen15b,23,G2,G4,full_phase_count,-4.687392763272159,8.377607934368168e-204,1.0,11.904
qwen15b,23,G2,G4,clean_interlayer_alignment,-7.1824107509687956,1.01920244119718e-119,0.8245642264963875,0.8563350677490235
qwen15b,23,G2,G4,full_interlayer_alignment,-7.160175508890392,1.0286155886407196e-118,0.8245642257042255,0.85609524016
qwen15b,23,G2,G4,clean_speed,1.4538504857098145,1.5031526900262235e-24,103.83139473283795,95.55642071533204
qwen15b,23,G2,G4,clean_turn_angle,0.6977489491497949,2.5628533567458153e-08,2.0287387606123803,1.9201484959920248
qwen15b,23,G2,G4,clean_tortuosity,6.623257552343553,1.6585159406595525e-98,0.33567694354225214,0.028998302941520962
qwen15b,23,G2,G4,clean_dir_consistency,7.091041431972542,1.0831740481624429e-102,0.33365339880258266,0.040406163300077076
qwen15b,23,G2,G4,clean_stabilisation,0.5040395799638545,4.136717801992726e-05,2.335175962851081,-0.12686590223721475
qwen15b,23,G2,G4,clean_radius_of_gyration,-4.022806664193183,1.3493849038345446e-82,63.42267667743522,80.75154581705729
qwen15b,23,G2,G4,clean_effective_dimension,-6.365638840078891,2.2360320806795903e-268,1.5879436185662175,15.244019449869791
qwen15b,23,G2,G4,clean_cos_slope_to_final,-1.8588723174914392,1.5200407632864775e-21,-0.05644873471363727,0.003632640013519057
qwen15b,23,G2,G4,clean_time_to_commit,-2.6056412759022165,1.4595815844095442e-122,0.14130434782608695,23.552
qwen15b,23,G2,G4,clean_commitment_sharpness,0.22674445928147635,0.11072650930556571,7.7752653204876445,6.870254069010417
qwen15b,23,G3,G4,clean_phase_count,-0.1529016186257378,0.3364689692624655,11.52,11.914666666666667
qwen15b,23,G3,G4,full_speed,0.20802747909612848,0.36101014146986976,96.34098796,95.97318933866666
qwen15b,23,G3,G4,full_turn_angle,-1.0753740980915714,1.2296282439823381e-06,1.8938002252578736,1.922879786491394
qwen15b,23,G3,G4,full_tortuosity,-0.4941048549906245,0.0015346664695375643,0.0255895288,0.027827008466666664
qwen15b,23,G3,G4,full_dir_consistency,-0.9527447465043845,2.1374818811775746e-06,0.03232037248,0.03688327695733333
qwen15b,23,G3,G4,full_stabilisation,-0.6070106855659956,0.00594195384969193,-0.12332734520017041,-0.04876217577213212
qwen15b,23,G3,G4,full_radius_of_gyration,0.8094817351248033,6.0677197957030456e-05,82.97084956,81.14952054400001
qwen15b,23,G3,G4,full_effective_dimension,0.6845264736037853,0.0006840428517903806,17.78719985961914,16.00081741333008
qwen15b,23,G3,G4,full_cos_slope_to_final,-0.6248192444070034,0.0005476020695500229,0.001367033277515268,0.0018711111395189378
qwen15b,23,G3,G4,full_time_to_commit,0.13180360974168992,0.49601672781853856,25.08,23.552
qwen15b,23,G3,G4,full_commitment_sharpness,1.007005946647796,2.1178303473229608e-05,8.781477661132813,6.870254069010417
qwen15b,23,G3,G4,full_phase_count,-0.05285483209013487,0.747373229356063,11.76,11.904
qwen15b,23,G3,G4,clean_interlayer_alignment,-1.6154970574079686,6.987328873746074e-08,0.8516685628890991,0.8563350677490235
qwen15b,23,G3,G4,full_interlayer_alignment,-1.6264923043181672,5.8950968126089866e-08,0.8515205640000001,0.85609524016
qwen15b,23,G3,G4,clean_speed,0.29024401192812915,0.1960329998763137,96.08478942871093,95.55642071533204
qwen15b,23,G3,G4,clean_turn_angle,-1.0788937191647419,1.158513891408233e-06,1.8908096075057983,1.9201484959920248
qwen15b,23,G3,G4,clean_tortuosity,-0.5293796596988659,0.0005707799980401644,0.02626147948205466,0.028998302941520962
qwen15b,23,G3,G4,clean_dir_consistency,-0.8590633734110489,9.265805687242596e-06,0.03581103019416328,0.040406163300077076
qwen15b,23,G3,G4,clean_stabilisation,-0.38865908945921296,0.05930767156671181,-0.18337387008773198,-0.12686590223721475
qwen15b,23,G3,G4,clean_radius_of_gyration,0.8100246791622111,6.026403077394724e-05,82.73792266845703,80.75154581705729
qwen15b,23,G3,G4,clean_effective_dimension,0.6352089709369225,0.0014028824690646075,16.911546363830567,15.244019449869791
qwen15b,23,G3,G4,clean_cos_slope_to_final,-0.760432690445004,0.0006635913460893495,0.002871122028468004,0.003632640013519057
qwen15b,23,G3,G4,clean_time_to_commit,0.13180360974168992,0.49601672781853856,25.08,23.552
qwen15b,23,G3,G4,clean_commitment_sharpness,1.007005946647796,2.1178303473229608e-05,8.781477661132813,6.870254069010417
qwen15b,23,G3,G4,clean_msd_exponent,-0.3432429598552375,0.049577049939935176,0.061348271074303545,0.06979105699166187
qwen15b,23,G3,G4,clean_fractal_dimension,0.15663859276273912,0.4045880858997915,35.49942935476749,33.68467059439522
qwen15b,23,G3,G4,full_msd_exponent,-0.3904920117953643,0.02800342943179461,0.06798836989428264,0.07656652768274703
qwen15b,23,G3,G4,full_fractal_dimension,0.22056589136159183,0.22828258745403898,31.113366420216625,29.229766224898135
qwen15b,24,G1,G2,clean_phase_count,0.0,,1.0,1.0
qwen15b,24,G1,G2,full_speed,-1.2901315532551407,4.3180961276917476e-32,117.77912971705426,137.38278097183098
qwen15b,24,G1,G2,full_turn_angle,-1.019165238097752,1.5907448934733003e-16,1.9238602278768555,2.118892375852021
qwen15b,24,G1,G2,full_tortuosity,-0.8579153822335921,2.7384218505153e-15,0.222381917627907,0.2818262124647887
qwen15b,24,G1,G2,full_dir_consistency,-0.5833795738297941,3.2678991371699284e-08,0.2477355710620155,0.2841702776056338
qwen15b,24,G1,G2,full_stabilisation,-1.4958306447402145,7.703823245633257e-38,-15.248058470943803,-0.20666793500873396
qwen15b,24,G1,G2,full_radius_of_gyration,0.006969273726578151,0.9449076395186804,80.78541986434108,80.71885747887325
qwen15b,24,G1,G2,full_effective_dimension,1.151253270710134,7.237896612611547e-29,2.465344862882481,1.5969237962239224
qwen15b,24,G1,G2,full_cos_slope_to_final,2.2344737510723776,1.5313896178338843e-36,0.02080895033821293,-0.11035835461124126
