speed,dir_consistency,stabilization,turning_angle,dir_autocorr,tortuosity,effective_dim,cos_slope,dist_slope,early_late_ratio,group,problem_id,condition,correct,cluster
14.325716972351074,0.06661861389875412,-0.02938212925387968,1.9148348569869995,-0.33345526456832886,0.04564577341079712,13.768080711364746,0.0020179437112904357,-0.03816271712703089,0.9486766457557678,G3,46,cot,False,1
14.085190773010254,0.06746415048837662,-0.01821979630377985,1.9049181938171387,-0.3243967294692993,0.04705138877034187,13.93943977355957,0.0037936830652817604,-0.06631419562524365,0.9805925488471985,G3,48,cot,False,1
14.664434432983398,0.06306908279657364,-0.002453627509455527,1.9249024391174316,-0.34305089712142944,0.045819878578186035,13.942710876464844,0.0010881320963944162,-0.014828140312625521,0.9262800216674805,G3,53,cot,False,1
14.649075508117676,0.0628768652677536,-0.013951914925729076,1.9191950559616089,-0.33743247389793396,0.04589587077498436,14.169260025024414,0.001377840904939559,-0.020498316518722033,0.9279116988182068,G3,58,cot,False,1
14.259830474853516,0.054366014897823334,-0.01289493114717545,1.9171804189682007,-0.33496224880218506,0.041111767292022705,11.799223899841309,0.0038764933785123204,-0.057880626186247806,1.041937232017517,G3,67,cot,False,0
14.020477294921875,0.06804796308279037,-0.045024145995416945,1.9327502250671387,-0.34714043140411377,0.041684769093990326,14.6664457321167,0.0028743034769450468,-0.06106432868588355,0.9492499828338623,G3,68,cot,False,1
14.663104057312012,0.05740971490740776,0.009460096974526681,1.9356564283370972,-0.3531048893928528,0.039725709706544876,12.774681091308594,0.0032277011462757666,-0.050149508060947534,1.0259126424789429,G3,69,cot,False,2
14.855006217956543,0.05338773503899574,0.03494282384072581,1.935080885887146,-0.35236597061157227,0.04221607372164726,13.708162307739258,0.00276605550560259,-0.03723220594467655,0.9998124241828918,G3,73,cot,False,2
14.528440475463867,0.057380352169275284,-0.022575208833140712,1.9168590307235718,-0.33547866344451904,0.03975612670183182,11.027854919433594,0.004380992211161122,-0.07572806266046339,1.057489037513733,G3,75,cot,False,0
13.88088607788086,0.06790637224912643,-0.025195594372287865,1.890438199043274,-0.30983057618141174,0.04719618707895279,12.75232219696045,0.00480951076794055,-0.07598672643784556,1.03230619430542,G3,85,cot,False,0
14.085409164428711,0.06845950335264206,-0.04081773815616484,1.9240764379501343,-0.33964577317237854,0.04125296697020531,14.927692413330078,0.0017297171176441253,-0.03964892818081763,0.9353664517402649,G3,90,cot,False,1
14.439778327941895,0.061213571578264236,-0.013246063647731652,1.916003942489624,-0.33444148302078247,0.043810032308101654,14.063509941101074,-0.0006598537847880396,0.0153594070865262,0.8963320255279541,G3,92,cot,False,1
14.152474403381348,0.05800824984908104,-0.02529348557995212,1.9179171323776245,-0.3360363245010376,0.04479816183447838,12.513447761535645,0.00425757100024531,-0.05986707825814523,1.0279533863067627,G3,94,cot,False,0
14.094120979309082,0.061035819351673126,-0.019316422554754437,1.9091989994049072,-0.3276780843734741,0.04505917802453041,12.370735168457031,0.003534542048169719,-0.04707226714780255,1.019734263420105,G3,95,cot,False,0
14.30048942565918,0.06438827514648438,-0.014771609921609205,1.9085750579833984,-0.32755807042121887,0.04548337683081627,13.825763702392578,0.0025115816883983155,-0.043553294866315775,0.9573708772659302,G3,97,cot,False,1
14.427994728088379,0.061023443937301636,-0.014212470285354124,1.9142872095108032,-0.33254531025886536,0.046263281255960464,14.782543182373047,0.002087156979307051,-0.03297141405843919,0.943396270275116,G3,110,cot,False,1
