comparison,group_a,group_b,layer,metric,mean_a,mean_b,std_a,std_b,mean_diff,p_value,cohens_d,significant,n_a,n_b
CoT Success vs Direct Success,G4,G2,10,dir_autocorr_lag4,0.1450273354297132,0.10753150003161166,0.06291309763581329,0.060654393762950086,0.03749583539810153,0.0,0.6045500963276147,True,253,168
CoT Success vs Direct Success,G4,G2,10,dir_autocorr_lag8,0.12023471934438346,0.018439910694204236,0.0888877401459189,0.1012576492237744,0.10179480865017922,0.0,1.082770656749561,True,253,168
CoT Success vs Direct Success,G4,G2,10,vel_autocorr_lag1,163.39531567539623,238.68930762154716,202.56904854528068,253.0564646258806,-75.29399194615092,0.0007,-0.3360447597254605,True,253,168
CoT Success vs Direct Success,G4,G2,10,vel_autocorr_lag2,-447.95141607593644,-23.254045210069133,80.35851296309565,177.54299646454982,-424.6973708658673,0.0,-3.311566355477221,True,253,168
CoT Success vs Direct Success,G4,G2,10,vel_autocorr_lag4,-49.286809229096875,-525.2059595017206,144.77957862001318,166.62817926639352,475.9191502726237,0.0,3.0931952178700555,True,253,168
CoT Success vs Direct Success,G4,G2,10,msd_exponent,0.054802871382705974,0.12501016305065155,0.009265376858695875,0.03112424371132534,-0.07020729166794556,0.0,-3.3556628914714826,True,253,168
CoT Success vs Direct Success,G4,G2,10,cos_to_running_mean,0.13051519937548237,0.12349672451437935,0.005429233650247231,0.004164127716611516,0.007018474861103019,0.0,1.413931849082617,True,253,168
CoT Success vs Direct Success,G4,G2,10,cos_to_late_window,0.5601390834617992,0.5023263769135589,0.05351514357512903,0.05239922238695942,0.057812706548240334,0.0,1.0893016149626884,True,253,168
CoT Success vs Direct Success,G4,G2,10,time_to_commit,3.0,3.0,0.0,0.0,0.0,1.0,,False,253,168
CoT Success vs Direct Success,G4,G2,10,recurrence_rate,0.0,0.0,0.0,0.0,0.0,1.0,,False,253,168
CoT Success vs Direct Success,G4,G2,10,psd_slope,-3.305027270746168,-3.9718780931658406,0.15064211807303438,0.3072916783923764,0.6668508224196725,0.0,2.944666768342727,True,253,168
CoT Success vs Direct Success,G4,G2,10,spectral_entropy,0.29146518896427237,0.29062299906424244,0.0004101729775024539,0.004041257055068311,0.0008421899000299327,0.0,0.3275614500971426,True,253,168
CoT Success vs Direct Success,G4,G2,11,speed,222.76437709642494,458.7912741161528,29.17809057806114,73.56845854252427,-236.02689701972787,0.0,-4.568460902341589,True,253,168
CoT Success vs Direct Success,G4,G2,11,dir_consistency,0.04616568371535757,0.06842307562363285,0.007499906523863226,0.010900254291271448,-0.022257391908275283,0.0,-2.470212329967655,True,253,168
CoT Success vs Direct Success,G4,G2,11,stabilization,-17.16127581932444,-82.48211062096318,4.591486727361537,45.72669855918684,65.32083480163874,0.0,2.245700312109319,True,253,168
CoT Success vs Direct Success,G4,G2,11,turning_angle,1.8927708986719607,1.880455880647614,0.01703653932587004,0.01277610150082711,0.012315018024346758,0.0,0.7955617378320506,True,253,168
CoT Success vs Direct Success,G4,G2,11,dir_autocorr,-0.3135528755282225,-0.30209335560599965,0.015940238097148476,0.011947400197628771,-0.011459519922222827,0.0,-0.7913279901187038,True,253,168
CoT Success vs Direct Success,G4,G2,11,tortuosity,0.8135581977753771,0.9145534457195372,0.04133563490755423,0.006847080892616829,-0.10099524794416015,0.0,-3.1222670036110745,True,253,168
CoT Success vs Direct Success,G4,G2,11,effective_dim,1.001696809478428,1.0006261453742074,0.0005923650115668073,5.526748343872431e-05,0.001070664104220631,0.0,2.3239219124891255,True,253,168
CoT Success vs Direct Success,G4,G2,11,cos_slope,0.0032527313616689106,0.004257598072498846,0.0008866914159793568,0.001605257510917941,-0.0010048667108299354,0.0,-0.820494979399785,True,253,168
CoT Success vs Direct Success,G4,G2,11,dist_slope,-17.256247561545294,-82.65554969173188,4.598961194199094,45.718115853606584,65.39930213018658,0.0,2.248758824166031,True,253,168
CoT Success vs Direct Success,G4,G2,11,early_late_ratio,9.061555689031428,16.362859385354177,1.5562319810576433,4.178186316288429,-7.30130369632275,0.0,-2.5170204974380614,True,253,168
CoT Success vs Direct Success,G4,G2,11,radius_of_gyration,1435.0977493708313,2230.0172991071427,130.1131499276037,136.89878763031004,-794.9195497363114,0.0,-5.9831713044638795,True,253,168
CoT Success vs Direct Success,G4,G2,11,gyration_anisotropy,0.0016673634416749811,0.0007877823120250739,0.0005164184780656477,7.283966968199593e-05,0.0008795811296499073,0.0,2.1819093453146086,True,253,168
CoT Success vs Direct Success,G4,G2,11,drift_to_spread,8.269110150016814,5.711959086713337,0.9632961026030282,0.24160048698598713,2.5571510633034773,0.0,3.353782348663608,True,253,168
CoT Success vs Direct Success,G4,G2,11,dir_autocorr_lag2,-0.15945557033709384,-0.1612594403503906,0.01985096879288424,0.01805782953489217,0.0018038700132967656,0.3454,0.09416535359042436,False,253,168
CoT Success vs Direct Success,G4,G2,11,dir_autocorr_lag4,0.14141900826838202,0.10826050626339907,0.0641186632080843,0.06022434424867384,0.03315850200498295,0.0,0.5297261211662889,True,253,168
CoT Success vs Direct Success,G4,G2,11,dir_autocorr_lag8,0.12457150074707624,0.017508066937201264,0.09226915575060919,0.10039604233095407,0.10706343380987497,0.0,1.120014429394336,True,253,168
CoT Success vs Direct Success,G4,G2,11,vel_autocorr_lag1,41.54575575764471,-264.7439745174987,167.58873058008746,323.6424277008308,306.2897302751434,0.0,1.264844081730957,True,253,168
CoT Success vs Direct Success,G4,G2,11,vel_autocorr_lag2,-270.5341597724809,-75.81400514713356,58.32499664782733,175.83546668928028,-194.72015462534733,0.0,-1.6244216497680393,True,253,168
CoT Success vs Direct Success,G4,G2,11,vel_autocorr_lag4,-223.88334556247878,-222.80029225775175,193.58710425744422,291.30775404595164,-1.0830533047270308,0.9615,-0.004562021908793575,False,253,168
CoT Success vs Direct Success,G4,G2,11,msd_exponent,0.05480757258536789,0.12500595841615456,0.009231090267777695,0.031126787880019532,-0.07019838583078666,0.0,-3.3564577547321215,True,253,168
CoT Success vs Direct Success,G4,G2,11,cos_to_running_mean,0.15390915255772736,0.14816349265830853,0.005959735158370368,0.004580840009345992,0.005745659899418831,0.0,1.053841283773401,True,253,168
CoT Success vs Direct Success,G4,G2,11,cos_to_late_window,0.5814559066248506,0.5383674458024048,0.0638049795857602,0.055754224932451184,0.04308846082244577,0.0,0.7095756019685342,True,253,168
CoT Success vs Direct Success,G4,G2,11,time_to_commit,3.0,3.0,0.0,0.0,0.0,1.0,,False,253,168
CoT Success vs Direct Success,G4,G2,11,recurrence_rate,0.0,0.0,0.0,0.0,0.0,1.0,,False,253,168
CoT Success vs Direct Success,G4,G2,11,psd_slope,-3.265009991472188,-3.8933217101653548,0.15638108304855078,0.30521431170079066,0.6283117186931668,0.0,2.75965889865678,True,253,168
CoT Success vs Direct Success,G4,G2,11,spectral_entropy,0.2914803745375041,0.2906410299365209,0.00038008033309062624,0.0040424412517178826,0.0008393446009831718,0.0,0.3267140582868108,True,253,168
CoT Success vs Direct Success,G4,G2,12,speed,224.0266250791286,459.8961966378348,29.194787957133645,73.63356252695392,-235.8695715587062,0.0,-4.5616525391024245,True,253,168
CoT Success vs Direct Success,G4,G2,12,dir_consistency,0.04620343085245884,0.06702326595162347,0.00741796827366835,0.010766687612364054,-0.02081983509916463,0.0,-2.338021093719564,True,253,168
CoT Success vs Direct Success,G4,G2,12,stabilization,-17.172274638794004,-82.48550257542779,4.5938056964704685,45.7160927400149,65.31322793663378,0.0,2.2459348971845468,True,253,168
CoT Success vs Direct Success,G4,G2,12,turning_angle,1.8869963257680298,1.8774180249089287,0.017554961693155145,0.013434359059221948,0.009578300859101052,0.0,0.5971508501321818,True,253,168
CoT Success vs Direct Success,G4,G2,12,dir_autocorr,-0.3081982704726132,-0.2994146143041906,0.01641100478793344,0.01254893940224395,-0.008783656168422638,0.0,-0.5859115868146194,True,253,168
CoT Success vs Direct Success,G4,G2,12,tortuosity,0.8086290807120885,0.9121852825794902,0.04174953679312344,0.006941998814530541,-0.10355620186740166,0.0,-3.169483905233613,True,253,168
CoT Success vs Direct Success,G4,G2,12,effective_dim,1.0018075822370325,1.0006641887483143,0.0006221716362562049,5.7577624724381426e-05,0.0011433934887181696,0.0,2.3629977899682726,True,253,168
CoT Success vs Direct Success,G4,G2,12,cos_slope,0.003327591551678798,0.004122621956136163,0.0009508136621974,0.0016653002790641728,-0.0007950304044573651,0.0,-0.6191102076922712,True,253,168
CoT Success vs Direct Success,G4,G2,12,dist_slope,-17.259161997296058,-82.65107004298095,4.599059241083034,45.69603389924443,65.39190804568489,0.0,2.249574060383733,True,253,168
CoT Success vs Direct Success,G4,G2,12,early_late_ratio,8.881557445752291,15.94415351322719,1.5105140893163844,4.037182993011604,-7.0625960674748995,0.0,-2.5177902901712086,True,253,168
CoT Success vs Direct Success,G4,G2,12,radius_of_gyration,1434.7455369549778,2229.5439801897323,130.06777273486497,136.8640858568393,-794.7984432347546,0.0,-5.984105479689756,True,253,168
CoT Success vs Direct Success,G4,G2,12,gyration_anisotropy,0.0017766221703736098,0.0008317372398635101,0.0005427482504150378,7.617526893412379e-05,0.0009448849305100997,0.0,2.2303391694305907,True,253,168
CoT Success vs Direct Success,G4,G2,12,drift_to_spread,8.268305145233516,5.712198065859931,0.9636045353438196,0.2416540173532893,2.556107079373585,0.0,3.3513533049256248,True,253,168
CoT Success vs Direct Success,G4,G2,12,dir_autocorr_lag2,-0.1655186343452205,-0.1658424353227019,0.020545755062392708,0.016877120820019194,0.00032380097748141434,0.8686,0.01689287883927719,False,253,168
CoT Success vs Direct Success,G4,G2,12,dir_autocorr_lag4,0.14406004684550222,0.10896095180041374,0.06298470674176963,0.060776587844641704,0.035099095045088485,0.0,0.5650751514059117,True,253,168
CoT Success vs Direct Success,G4,G2,12,dir_autocorr_lag8,0.12431570056878444,0.018659401416135507,0.09265842618979714,0.09572759438477638,0.10565629915264893,0.0,1.1252754181703002,True,253,168
CoT Success vs Direct Success,G4,G2,12,vel_autocorr_lag1,119.15793620739059,-914.1297282264346,185.5702565152631,273.632326121084,1033.2876644338253,0.0,4.595624939003265,True,253,168
CoT Success vs Direct Success,G4,G2,12,vel_autocorr_lag2,-431.9969298472046,-68.5188537864458,77.31482950416815,318.72377542539186,-363.47807606075884,0.0,-1.7311703003693315,True,253,168
CoT Success vs Direct Success,G4,G2,12,vel_autocorr_lag4,-215.11572337998703,-413.5875637304215,200.31843876243758,199.7514206029685,198.47184035043446,0.0,0.9918997734037069,True,253,168
CoT Success vs Direct Success,G4,G2,12,msd_exponent,0.05475631128244272,0.12495936850923851,0.009210841229936153,0.031123521426611872,-0.07020305722679579,0.0,-3.3578544486021125,True,253,168
CoT Success vs Direct Success,G4,G2,12,cos_to_running_mean,0.16940380273600342,0.15390617134315626,0.006760102273083172,0.005313357645804265,0.015497631392847155,0.0,2.490013592490962,True,253,168
CoT Success vs Direct Success,G4,G2,12,cos_to_late_window,0.5991551923186411,0.5474440187570595,0.07067748102391422,0.0604083442106763,0.051711173561581614,0.0,0.7744197800857618,True,253,168
CoT Success vs Direct Success,G4,G2,12,time_to_commit,3.0,3.0,0.0,0.0,0.0,1.0,,False,253,168
CoT Success vs Direct Success,G4,G2,12,recurrence_rate,0.0,0.0,0.0,0.0,0.0,1.0,,False,253,168
CoT Success vs Direct Success,G4,G2,12,psd_slope,-3.2122580143513737,-3.8180409682654486,0.15408242067501846,0.3160980422563847,0.6057829539140749,0.0,2.6043935552722446,True,253,168
CoT Success vs Direct Success,G4,G2,12,spectral_entropy,0.29158272605378655,0.2906306459008611,0.00044396507958299785,0.0040452383033865846,0.0009520801529254719,0.0,0.36945946103072186,True,253,168
CoT Success vs Direct Success,G4,G2,13,speed,225.0837483764166,460.91501072474887,29.100943227035998,73.58976320038187,-235.83126234833227,0.0,-4.5659184618245705,True,253,168
CoT Success vs Direct Success,G4,G2,13,dir_consistency,0.045462075481007176,0.06886081233443245,0.007157787453230575,0.010399264188658414,-0.02339873685342527,0.0,-2.721579488248134,True,253,168
CoT Success vs Direct Success,G4,G2,13,stabilization,-17.167779669462558,-82.44087988645404,4.595640880615174,45.70747243418345,65.27310021699148,0.0,2.2449585144241975,True,253,168
CoT Success vs Direct Success,G4,G2,13,turning_angle,1.8791613673032979,1.8702038774887721,0.01790814618340478,0.013256752439895351,0.00895748981452571,0.0,0.5524210529462426,True,253,168
CoT Success vs Direct Success,G4,G2,13,dir_autocorr,-0.3010176430813409,-0.29280962316053255,0.01678047741906335,0.012390874840831864,-0.00820801992080833,0.0,-0.5405777468255537,True,253,168
CoT Success vs Direct Success,G4,G2,13,tortuosity,0.8045896744068433,0.9100096850168138,0.04263160612113476,0.007112165111076728,-0.10542001060997053,0.0,-3.1595811568235916,True,253,168
CoT Success vs Direct Success,G4,G2,13,effective_dim,1.0019081416337385,1.000701490612257,0.0006703035009018393,6.111264513828814e-05,0.0012066510214814308,0.0,2.3148564279047297,True,253,168
CoT Success vs Direct Success,G4,G2,13,cos_slope,0.003505901156207787,0.004249153242222602,0.0009621117162380198,0.0017630689421331935,-0.0007432520860148149,0.0,-0.5546603996486342,True,253,168
CoT Success vs Direct Success,G4,G2,13,dist_slope,-17.272315530976666,-82.63308722059396,4.60189081511556,45.68564079163051,65.3607716896173,0.0,2.2489858765916138,True,253,168
CoT Success vs Direct Success,G4,G2,13,early_late_ratio,8.617463933620527,15.324721699669247,1.4856497342343766,3.9200755151680085,-6.70725776604872,0.0,-2.4569789018066386,True,253,168
