comparison,group1,group2,layer,metric,cohens_d,perm_p,significant,n1,n2
CoT Success vs CoT Failure,G4,G3,27,msd_exponent,0.2702578931191459,0.093,False,253,47
CoT Success vs CoT Failure,G4,G3,28,msd_exponent,0.4881513651681505,0.004,True,253,47
CoT Success vs CoT Failure,G4,G3,0,cos_to_late_window,-1.7400012116293735,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,1,cos_to_late_window,-1.9623274918101,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,2,cos_to_late_window,-0.8348989261202973,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,3,cos_to_late_window,-1.390037561401723,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,4,cos_to_late_window,0.3235471584513397,0.042,True,253,47
CoT Success vs CoT Failure,G4,G3,5,cos_to_late_window,-0.04175780462707353,0.77,False,253,47
CoT Success vs CoT Failure,G4,G3,6,cos_to_late_window,0.49043901719990357,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,7,cos_to_late_window,0.30209123290986695,0.049,True,253,47
CoT Success vs CoT Failure,G4,G3,8,cos_to_late_window,-0.11927785701556734,0.413,False,253,47
CoT Success vs CoT Failure,G4,G3,9,cos_to_late_window,-0.3284741039537404,0.04,True,253,47
CoT Success vs CoT Failure,G4,G3,10,cos_to_late_window,-0.31109292741497807,0.044,True,253,47
CoT Success vs CoT Failure,G4,G3,11,cos_to_late_window,-0.04083038975192509,0.779,False,253,47
CoT Success vs CoT Failure,G4,G3,12,cos_to_late_window,-0.1646743732898865,0.28,False,253,47
CoT Success vs CoT Failure,G4,G3,13,cos_to_late_window,-0.292619259496925,0.052,False,253,47
CoT Success vs CoT Failure,G4,G3,14,cos_to_late_window,-0.26089220326773355,0.086,False,253,47
CoT Success vs CoT Failure,G4,G3,15,cos_to_late_window,-0.1938752303336646,0.202,False,253,47
CoT Success vs CoT Failure,G4,G3,16,cos_to_late_window,-0.33108021776918684,0.03,True,253,47
CoT Success vs CoT Failure,G4,G3,17,cos_to_late_window,0.23435850080858706,0.135,False,253,47
CoT Success vs CoT Failure,G4,G3,18,cos_to_late_window,0.21643839731428763,0.158,False,253,47
CoT Success vs CoT Failure,G4,G3,19,cos_to_late_window,0.8761583378832866,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,20,cos_to_late_window,0.19038324348880417,0.219,False,253,47
CoT Success vs CoT Failure,G4,G3,21,cos_to_late_window,0.22462127568489867,0.149,False,253,47
CoT Success vs CoT Failure,G4,G3,22,cos_to_late_window,0.9783830292447967,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,23,cos_to_late_window,0.4162600961526964,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,24,cos_to_late_window,-0.04891057564359107,0.742,False,253,47
CoT Success vs CoT Failure,G4,G3,25,cos_to_late_window,-0.236031685797116,0.133,False,253,47
CoT Success vs CoT Failure,G4,G3,26,cos_to_late_window,-0.46644875921288176,0.005,True,253,47
CoT Success vs CoT Failure,G4,G3,27,cos_to_late_window,-0.6508384941870652,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,28,cos_to_late_window,0.09735597912683328,0.509,False,253,47
Direct Success vs Direct Failure,G2,G1,0,speed,-1.9456361401067928,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,1,speed,-1.9675000190680396,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,2,speed,-0.4030593528085803,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,3,speed,-0.3982568474443066,0.0,True,198,102
